Team,RZ_Eff,EPA,Record,SOS,PD
Baltimore,78.72%,0.2,20,0.9,70
Tampa Bay,69.77%,0.02,2,-0.1,36
Cincinnati,69.70%,0,0,-0.1,1
Chicago,66.67%,-0.02,-2,0.1,1
Detroit,66.00%,0.3,30,1,180
Buffalo,63.83%,0.18,18,1.2,106
New Orleans,61.76%,0,0,-0.6,2
Arizona,59.38%,0.01,1,0.8,8
Washington,58.33%,0.13,13,0.4,57
Carolina,58.06%,-0.27,-27,-0.3,-146
Denver,57.50%,0.09,9,0.4,62
Cleveland,57.14%,-0.12,-12,1,-81
LA Chargers,57.14%,0.08,8,-0.8,68
Miami,56.76%,-0.05,-5,0.5,-34
Jacksonville,55.88%,-0.23,-23,0.8,-108
Kansas City,55.81%,0.08,8,-0.1,54
Philadelphia,55.81%,0.22,22,0.1,97
Seattle,55.56%,-0.05,-5,0.7,2
Green Bay,55.10%,0.15,15,1,78
Houston,54.76%,0.05,5,1.2,17
Minnesota,53.85%,0.15,15,1.2,77
Atlanta,53.13%,-0.06,-6,-1.4,-30
NY Jets,52.94%,-0.02,-2,0.1,-38
Indianapolis,52.78%,-0.06,-6,0.3,-32
Las Vegas,50.00%,-0.2,-20,0.3,-110
San Francisco,50.00%,0.08,8,0.9,0
Tennessee,50.00%,-0.08,-8,1,-88
LA Rams,50.00%,-0.07,-7,0.9,-43
New England,46.88%,-0.16,-16,1.6,-85
Pittsburgh,44.74%,0.07,7,1.3,66
Dallas,43.75%,-0.26,-26,0.6,-91
NY Giants,42.42%,-0.17,-17,0.5,-96