Team,EPA
Baltimore,0.2
Tampa Bay,0.02
Cincinnati,0
Chicago,-0.02
Detroit,0.3
Buffalo,0.18
New Orleans,0
Arizona,0.01
Washington,0.13
Carolina,-0.27
Denver,0.09
Cleveland,-0.12
LA Chargers,0.08
Miami,-0.05
Jacksonville,-0.23
Kansas City,0.08
Philadelphia,0.22
Seattle,-0.05
Green Bay,0.15
Houston,0.05
Minnesota,0.15
Atlanta,-0.06
NY Jets,-0.02
Indianapolis,-0.06
Las Vegas,-0.2
San Francisco,0.08
Tennessee,-0.08
LA Rams,-0.07
New England,-0.16
Pittsburgh,0.07
Dallas,-0.26
NY Giants,-0.17