Team,2024
Baltimore,78.72%
Tampa Bay,69.77%
Cincinnati,69.70%
Chicago,66.67%
Detroit,66.00%
Buffalo,63.83%
New Orleans,61.76%
Arizona,59.38%
Washington,58.33%
Carolina,58.06%
Denver,57.50%
Cleveland,57.14%
LA Chargers,57.14%
Miami,56.76%
Jacksonville,55.88%
Kansas City,55.81%
Philadelphia,55.81%
Seattle,55.56%
Green Bay,55.10%
Houston,54.76%
Minnesota,53.85%
Atlanta,53.13%
NY Jets,52.94%
Indianapolis,52.78%
Las Vegas,50.00%
San Francisco,50.00%
Tennessee,50.00%
LA Rams,50.00%
New England,46.88%
Pittsburgh,44.74%
Dallas,43.75%
NY Giants,42.42%